,index,Year2,GS,Cmp,Att,Cmp%,Rate,ANY/A,Wins,Losses,Ties,Player,
0,0,1998,9,111,245,45.3,39,1.93,3,6,0,LeafRy00,LeafRy000
1,1,2000,9,161,322,50,56.2,3.22,1,8,0,LeafRy00,LeafRy001
2,2,2001,3,45,88,51.1,57.7,2.97,0,3,0,LeafRy00,LeafRy002
0,0,1998,16,326,575,56.7,71.2,4.84,3,13,0,MannPe00,MannPe000
1,1,1999,16,331,533,62.1,90.7,7.06,13,3,0,MannPe00,MannPe001
2,2,2000,16,357,571,62.5,94.7,7.22,10,6,0,MannPe00,MannPe002
3,3,2001,16,343,547,62.7,84.1,5.88,6,10,0,MannPe00,MannPe003
4,4,2002,16,392,591,66.3,88.8,6.09,10,6,0,MannPe00,MannPe004
5,5,2003,16,379,566,67,99,7.35,12,4,0,MannPe00,MannPe005
6,6,2004,16,336,497,67.6,121.1,9.78,12,4,0,MannPe00,MannPe006
7,7,2005,16,305,453,67.3,104.1,8.03,14,2,0,MannPe00,MannPe007
8,8,2006,16,362,557,65,101,7.93,12,4,0,MannPe00,MannPe008
9,9,2007,16,337,515,65.4,98,7.29,13,3,0,MannPe00,MannPe009
10,10,2008,16,371,555,66.8,95,6.88,12,4,0,MannPe00,MannPe0010
11,11,2009,16,393,571,68.8,99.9,7.51,14,2,0,MannPe00,MannPe0011
12,12,2010,16,450,679,66.3,91.9,6.48,10,6,0,MannPe00,MannPe0012
13,14,2012,16,400,583,68.6,105.8,7.89,13,3,0,MannPe00,MannPe0013
14,15,2013,16,450,659,68.3,115.1,8.87,13,3,0,MannPe00,MannPe0014
15,16,2014,16,395,597,66.2,101.5,7.68,12,4,0,MannPe00,MannPe0015
16,17,2015,9,198,331,59.8,67.9,4.52,7,2,0,MannPe00,MannPe0016
0,1,2012,7,136,218,62.4,98.3,7.55,5,2,0,KaepCo00,KaepCo000
1,2,2013,16,243,416,58.4,91.6,6.65,12,4,0,KaepCo00,KaepCo001
2,3,2014,16,289,478,60.5,86.4,5.58,8,8,0,KaepCo00,KaepCo002
3,4,2015,8,144,244,59,78.5,4.94,2,6,0,KaepCo00,KaepCo003
4,5,2016,11,196,331,59.2,90.7,5.92,1,10,0,KaepCo00,KaepCo004
0,0,2004,7,95,197,48.2,55.4,3.21,1,6,0,MannEl00,MannEl000
1,1,2005,16,294,557,52.8,75.9,5.63,11,5,0,MannEl00,MannEl001
2,2,2006,16,301,522,57.7,77,4.99,8,8,0,MannEl00,MannEl002
3,3,2007,16,297,529,56.1,73.9,4.82,10,6,0,MannEl00,MannEl003
4,4,2008,16,289,479,60.3,86.4,6,12,4,0,MannEl00,MannEl004
5,5,2009,16,317,509,62.3,93.1,6.89,8,8,0,MannEl00,MannEl005
6,6,2010,16,339,539,62.9,85.3,6.09,10,6,0,MannEl00,MannEl006
7,7,2011,16,359,589,61,92.9,7.45,9,7,0,MannEl00,MannEl007
